"CALIFORNIA INFLOW								",,extra text,,,,
"Individual Income Tax Returns: County-to-County Migration Inflow for Selected Income Items, Calendar Years 2015-2016								",,,,,,
"[Money amounts are in thousands of dollars]								",,,,,,
"Destination into California		Origin from				Number of returns	Number of exemptions	Adjusted gross income (AGI)",,,,,,
"State Code	County Code	State Code	County Code	State	County Name			",,,,,,
"						-1	-2	-3",,,,,,
"6	0	96	0	CA	Total Migration-US and Foreign	""730","121""	""1",325,"054""	""57",63,"576""",
"6	0	97	0	CA	Total Migration-US	""719","726""	""1",303,"761""	""56",65,"178""",
"6	0	97	1	CA	Total Migration-Same State	""469","650""	""871","318""	""37",270,"805""",,
"6	0	97	3	CA	Total Migration-Different State	""250","076""	""432","443""	""18",794,"372""",,
"6	0	98	0	CA	Total Migration-Foreign	""10","395""	""21","293""	""998","398""",,,
"6	1	96	0	CA	Alameda County Total Migration-US and Foreign	""44","070""	""74","447""	""3",939,"693""",,
"6	1	97	0	CA	Alameda County Total Migration-US	""43","585""	""73","440""	""3",886,"347""",,
"6	1	97	1	CA	Alameda County Total Migration-Same State	""31","039""	""52","885""	""2",848,"222""",,
"6	1	97	3	CA	Alameda County Total Migration-Different State	""12","546""	""20","555""	""1",38,"125""",,
"6	1	98	0	CA	Alameda County Total Migration-Foreign	485	""1","007""	""53","346""",,,,
"6	1	6	1	CA	Alameda County Non-migrants	""600","105""	""1",284,"934""	""61",346,"161""",
"6	1	6	75	CA	San Francisco County	""5","855""	""8","546""	""656","620""",,,
"6	1	6	85	CA	Santa Clara County	""5","821""	""11","806""	""730","900""",,,
"6	1	6	13	CA	Contra Costa County	""5","352""	""9","011""	""436","922""",,,
"6	1	6	81	CA	San Mateo County	""3","368""	""6","576""	""331","553""",,,
"6	1	6	37	CA	Los Angeles County	""2","084""	""3","002""	""147","942""",,,
"6	1	6	77	CA	San Joaquin County	""1","212""	""2","433""	""73","328""",,,
"6	1	6	67	CA	Sacramento County	932	""1","485""	""51","137""",,,,
"6	1	6	73	CA	San Diego County	883	""1","367""	""61","503""",,,,
"6	1	6	59	CA	Orange County	670	""1","061""	""49","867""",,,,
"6	1	6	95	CA	Solano County	620	""1","031""	""32","284""",,,,
"6	1	17	31	IL	Cook County	525	812	""51","990""",,,,,
"6	1	6	99	CA	Stanislaus County	470	900	""28","361""",,,,,
"6	1	53	33	WA	King County	449	729	""42","814""",,,,,
"6	1	6	41	CA	Marin County	442	627	""41","885""",,,,,
"6	1	36	47	NY	Kings County	433	617	""36","161""",,,,,
"6	1	57	1	FR	Foreign - Overseas	418	881	""50","298""",,,,,
"6	1	36	61	NY	New York County	399	580	""47","211""",,,,,
"6	1	6	97	CA	Sonoma County	357	471	""18","934""",,,,,
"6	1	25	17	MA	Middlesex County	341	513	""34","912""",,,,,
"6	1	4	13	AZ	Maricopa County	300	487	""22","390""",,,,,
"6	1	6	87	CA	Santa Cruz County	282	383	""16","052""",,,,,
"6	1	11	1	DC	District of Columbia	275	353	""27","733""",,,,,
"6	1	32	3	NV	Clark County	275	466	""16","858""",,,,,
"6	1	48	453	TX	Travis County	268	477	""21","814""",,,,,
"6	1	6	65	CA	Riverside County	260	432	""12","810""",,,,,
"6	1	6	19	CA	Fresno County	227	376	""14","085""",,,,,
"6	1	6	113	CA	Yolo County	218	298	""14","177""",,,,,
"6	1	48	201	TX	Harris County	213	394	""16","109""",,,,,
"6	1	6	71	CA	San Bernardino County	187	333	""9","960""",,,,,
"6	1	6	83	CA	Santa Barbara County	182	231	""9","994""",,,,,
"6	1	6	53	CA	Monterey County	177	274	""12","671""",,,,,
"6	1	6	111	CA	Ventura County	168	278	""16","117""",,,,,
"6	1	15	3	HI	Honolulu County	161	271	""12","200""",,,,,
"6	1	36	81	NY	Queens County	159	211	""9","832""",,,,,
"6	1	6	61	CA	Placer County	153	244	""11","616""",,,,,
"6	1	41	51	OR	Multnomah County	152	186	""8","567""",,,,,
"6	1	27	53	MN	Hennepin County	141	250	""13","078""",,,,,
"6	1	25	25	MA	Suffolk County	138	188	""9","553""",,,,,
"6	1	48	113	TX	Dallas County	131	206	""10","652""",,,,,
"6	1	8	31	CO	Denver County	117	165	""10","155""",,,,,
"6	1	24	31	MD	Montgomery County	116	198	""10","646""",,,,,
"6	1	13	121	GA	Fulton County	115	192	""9","828""",,,,,
"6	1	42	101	PA	Philadelphia County	113	144	""7","370""",,,,,
"6	1	6	79	CA	San Luis Obispo County	112	145	""6","035""",,,,,
"6	1	6	55	CA	Napa County	111	165	""9","436""",,,,,
"6	1	34	17	NJ	Hudson County	106	176	""16","271""",,,,,
"6	1	6	7	CA	Butte County	105	152	""4","728""",,,,,
"6	1	6	29	CA	Kern County	98	179	""5","682""",,,,,
"6	1	6	47	CA	Merced County	98	182	""4","201""",,,,,
"6	1	51	59	VA	Fairfax County	88	162	""9","589""",,,,,
"6	1	32	31	NV	Washoe County	87	140	""4","522""",,,,,
"6	1	4	19	AZ	Pima County	82	121	""5","528""",,,,,
"6	1	41	67	OR	Washington County	80	170	""7","981""",,,,,
"6	1	49	35	UT	Salt Lake County	79	140	""5","651""",,,,,
"6	1	9	9	CT	New Haven County	78	130	""7","425""",,,,,
"6	1	42	3	PA	Allegheny County	77	131	""7","718""",,,,,
"6	1	55	25	WI	Dane County	77	124	""6","440""",,,,,
"6	1	12	86	FL	Miami-Dade County	75	134	""4","475""",,,,,
"6	1	39	49	OH	Franklin County	75	128	""5","012""",,,,,
"6	1	48	85	TX	Collin County	75	161	""7","903""",,,,,
"6	1	34	23	NJ	Middlesex County	74	169	""10","187""",,,,,
"6	1	26	161	MI	Washtenaw County	70	104	""3","905""",,,,,
"6	1	26	125	MI	Oakland County	68	135	""7","304""",,,,,
"6	1	48	439	TX	Tarrant County	68	131	""4","632""",,,,,
"6	1	6	17	CA	El Dorado County	67	95	""3","305""",,,,,
"6	1	57	5	FR	Foreign - APO/FPO ZIPs	67	126	""3","048""",,,,,
"6	1	24	510	MD	Baltimore city	66	97	""3","949""",,,,,
"6	1	51	13	VA	Arlington County	65	94	""9","523""",,,,,
"6	1	6	57	CA	Nevada County	64	89	""3","791""",,,,,
"6	1	37	119	NC	Mecklenburg County	64	121	""6","253""",,,,,
"6	1	12	11	FL	Broward County	63	118	""4","033""",,,,,
"6	1	13	89	GA	DeKalb County	63	117	""3","963""",,,,,
"6	1	8	13	CO	Boulder County	62	87	""3","983""",,,,,
"6	1	17	43	IL	DuPage County	59	116	""6","545""",,,,,
"6	1	35	1	NM	Bernalillo County	59	95	""5","470""",,,,,
"6	1	36	119	NY	Westchester County	55	108	""9","560""",,,,,
"6	1	8	5	CO	Arapahoe County	53	83	""5","973""",,,,,
"6	1	42	91	PA	Montgomery County	53	109	""5","449""",,,,,
"6	1	6	23	CA	Humboldt County	52	69	""1","349""",,,,,
"6	1	9	1	CT	Fairfield County	52	96	""6","911""",,,,,
"6	1	22	71	LA	Orleans Parish	52	63	""2","070""",,,,,
"6	1	39	35	OH	Cuyahoga County	52	90	""6","505""",,,,,
"6	1	36	59	NY	Nassau County	50	78	""3","805""",,,,,
"6	1	36	103	NY	Suffolk County	50	82	""3","715""",,,,,
"6	1	48	29	TX	Bexar County	50	74	""3","232""",,,,,
"6	1	6	89	CA	Shasta County	49	71	""2","286""",,,,,
"6	1	24	33	MD	Prince George's County	49	75	""3","289""",,,,,
"6	1	37	183	NC	Wake County	49	104	""4","205""",,,,,
"6	1	6	107	CA	Tulare County	46	79	""1","771""",,,,,
"6	1	25	21	MA	Norfolk County	46	80	""8","279""",,,,,
"6	1	12	57	FL	Hillsborough County	45	65	""2","838""",,,,,
"6	1	6	109	CA	Tuolumne County	44	70	""4","034""",,,,,
"6	1	41	39	OR	Lane County	44	60	""2","452""",,,,,
"6	1	17	97	IL	Lake County	43	96	""9","053""",,,,,
"6	1	25	27	MA	Worcester County	43	76	""4","245""",,,,,
"6	1	8	41	CO	El Paso County	42	64	""1","781""",,,,,
"6	1	6	45	CA	Mendocino County	41	63	""1","617""",,,,,
"6	1	12	95	FL	Orange County	41	69	""2","635""",,,,,
"6	1	9	3	CT	Hartford County	40	66	""1","851""",,,,,
"6	1	17	19	IL	Champaign County	40	59	""2","052""",,,,,
"6	1	26	163	MI	Wayne County	40	59	""2","348""",,,,,
"6	1	29	189	MO	St. Louis County	39	82	""2","742""",,,,,
"6	1	34	3	NJ	Bergen County	38	89	""5","184""",,,,,
"6	1	12	99	FL	Palm Beach County	37	51	""2","974""",,,,,
"6	1	13	67	GA	Cobb County	37	71	""3","877""",,,,,
"6	1	18	97	IN	Marion County	37	55	""1","912""",,,,,
"6	1	39	61	OH	Hamilton County	37	65	""2","435""",,,,,
"6	1	44	7	RI	Providence County	37	50	""2","294""",,,,,
"6	1	53	53	WA	Pierce County	37	61	""1","744""",,,,,
"6	1	53	61	WA	Snohomish County	37	62	""2","568""",,,,,
"6	1	37	63	NC	Durham County	36	61	""2","613""",,,,,
"6	1	49	49	UT	Utah County	36	83	""2","223""",,,,,
"6	1	12	103	FL	Pinellas County	35	50	""2","141""",,,,,
"6	1	16	1	ID	Ada County	35	72	""3","015""",,,,,
"6	1	6	9	CA	Calaveras County	34	54	""2","762""",,,,,
"6	1	24	5	MD	Baltimore County	34	60	""3","112""",,,,,
"6	1	25	9	MA	Essex County	34	54	""3","531""",,,,,
"6	1	6	69	CA	San Benito County	33	57	""2","046""",,,,,
"6	1	13	135	GA	Gwinnett County	32	59	""1","880""",,,,,
"6	1	27	123	MN	Ramsey County	32	47	""2","282""",,,,,
"6	1	34	21	NJ	Mercer County	32	65	""3","729""",,,,,
"6	1	34	27	NJ	Morris County	32	54	""4","142""",,,,,
"6	1	47	37	TN	Davidson County	32	48	""2","049""",,,,,
"6	1	51	510	VA	Alexandria city	32	46	""3","501""",,,,,
"6	1	55	79	WI	Milwaukee County	32	42	""1","857""",,,,,
"6	1	15	1	HI	Hawaii County	31	40	""1","050""",,,,,
"6	1	34	35	NJ	Somerset County	31	64	""3","698""",,,,,
"6	1	36	29	NY	Erie County	30	51	""1","462""",,,,,
